name,ticker,amount,type,sip_monthly,sip_date,amfi_code
Nippon India Small Cap Fund Direct Growth,0P0001BAO8.BO,17999,mutual_fund,1000,5,118778
Tata Motors (Commercial Vehicles),TMCV.NS,5028,stock,0,0,
Tata Motors Passenger Vehicles,TMPV.NS,11114,stock,0,0,
CDSL,CDSL.NS,2040,stock,0,0,
ITC,ITC.NS,1688,stock,0,0,
Manappuram Finance,MANAPPURAM.NS,1671,stock,0,0,
Nippon India Silver ETF,SILVERBEES.NS,921,stock,0,0,
IDFC First Bank,IDFCFIRSTB.NS,759,stock,0,0,
Nippon India Gold BeES,GOLDBEES.NS,539,stock,0,0,
ONGC,ONGC.NS,532,stock,0,0,
